m gam aeat p isp o/f
2.1676*10 1.2249  1.5000*10 1.2040  2.8419  5.9000 
2.1676*10 1.2280  1.7500*10 9.8096*0.1 2.8799  5.9000 
2.1676*10 1.2307  2.0000*10 8.2176*0.1 2.9112  5.9000 
2.1676*10 1.2331  2.2500*10 7.0311*0.1 2.9378  5.9000 
2.1676*10 1.2354  2.5000*10 6.1166*0.1 2.9607  5.9000 
2.1676*10 1.2364  2.6200*10 5.7492*0.1 2.9706  5.9000 
2.1676*10 1.2374  2.7500*10 5.3929*0.1 2.9808  5.9000 
2.1676*10 1.2393  3.0000*10 4.8076*0.1 2.9986  5.9000 
2.1676*10 1.2410  3.2500*10 4.3257*0.1 3.0145  5.9000 
2.1676*10 1.2427  3.5000*10 3.9229*0.1 3.0290  5.9000 
2.1676*10 1.2442  3.7500*10 3.5818*0.1 3.0421  5.9000 
2.1760*10 1.1792  0.0000  1.6500*100 0.0000  6.0000 
2.1760*10 1.1821  1.0000  9.3706*10 1.1124  6.0000 
2.1760*10 1.2162  1.0000*10 2.0756  2.7345  6.0000 
2.1760*10 1.2203  1.2500*10 1.5396  2.7974  6.0000 
2.1760*10 1.2237  1.5000*10 1.2076  2.8452  6.0000 
2.1760*10 1.2267  1.7500*10 9.8402*0.1 2.8834  6.0000 
2.1760*10 1.2294  2.0000*10 8.2446*0.1 2.9149  6.0000 
2.1760*10 1.2318  2.2500*10 7.0551*0.1 2.9416  6.0000 
2.1760*10 1.2340  2.5000*10 6.1383*0.1 2.9646  6.0000 
2.1760*10 1.2350  2.6200*10 5.7699*0.1 2.9747  6.0000 
2.1760*10 1.2361  2.7500*10 5.4127*0.1 2.9848  6.0000 
2.1760*10 1.2379  3.0000*10 4.8258*0.1 3.0027  6.0000 
2.1760*10 1.2397  3.2500*10 4.3425*0.1 3.0188  6.0000 
2.1760*10 1.2413  3.5000*10 3.9385*0.1 3.0333  6.0000 
2.1760*10 1.2428  3.7500*10 3.5963*0.1 3.0465  6.0000 
2.1839*10 1.1786  0.0000  1.6500*100 0.0000  6.1000 
2.1839*10 1.1815  1.0000  9.3727*10 1.1112  6.1000 
2.1839*10 1.2152  1.0000*10 2.0803  2.7369  6.1000 
2.1839*10 1.2192  1.2500*10 1.5434  2.8001  6.1000 
2.1839*10 1.2226  1.5000*10 1.2108  2.8482  6.1000 
2.1839*10 1.2256  1.7500*10 9.8679*0.1 2.8866  6.1000 
2.1839*10 1.2283  2.0000*10 8.2689*0.1 2.9183  6.1000 
2.1839*10 1.2307  2.2500*10 7.0769*0.1 2.9451  6.1000 
2.1839*10 1.2328  2.5000*10 6.1580*0.1 2.9683  6.1000 
2.1839*10 1.2338  2.6200*10 5.7886*0.1 2.9783  6.1000 
2.1839*10 1.2348  2.7500*10 5.4306*0.1 2.9886  6.1000 
2.1839*10 1.2367  3.0000*10 4.8422*0.1 3.0066  6.1000 
2.1839*10 1.2384  3.2500*10 4.3577*0.1 3.0228  6.1000 
2.1839*10 1.2400  3.5000*10 3.9526*0.1 3.0374  6.1000 
2.1839*10 1.2415  3.7500*10 3.6094*0.1 3.0507  6.1000 
2.1913*10 1.1780  0.0000  1.6500*100 0.0000  6.2000 
2.1913*10 1.1809  1.0000  9.3746*10 1.1099  6.2000 
2.1913*10 1.2143  1.0000*10 2.0845  2.7389  6.2000 
2.1913*10 1.2183  1.2500*10 1.5468  2.8025  6.2000 
2.1913*10 1.2217  1.5000*10 1.2136  2.8508  6.2000 
2.1913*10 1.2246  1.7500*10 9.8927*0.1 2.8894  6.2000 
2.1913*10 1.2272  2.0000*10 8.2908*0.1 2.9213  6.2000 
2.1913*10 1.2296  2.2500*10 7.0963*0.1 2.9483  6.2000 
2.1913*10 1.2318  2.5000*10 6.1755*0.1 2.9716  6.2000 
2.1913*10 1.2328  2.6200*10 5.8054*0.1 2.9817  6.2000 
2.1913*10 1.2338  2.7500*10 5.4466*0.1 2.9920  6.2000 
2.1913*10 1.2356  3.0000*10 4.8569*0.1 3.0101  6.2000 
